"","name","GQ_UC1","GQ_UC3","GQ_UC4","GQ_UC5","MC_UC1","MC_UC2","MC_UC3","MC_UC4","HC_UC2","HC_UC4","HJC_UC1","HJC_UC2","HJC_UC3","HJC_UC4","JJC_UC2","YZJC_UC3","ZC_UC1","ZC_UC3","ZC_UC4","ZC_UC5"
"1","Escherichia_coli",176,1701,28506,177,375.6666667,22156.33333,2658,51373,23279.66667,41752.66667,2485,30107.33333,2876.5,45904.66667,11640.33333,15728.33333,184,10164,23518,133.5
"2","Arthrobacter_oxydans",3,215,1578,1,3.666666667,913.3333333,236,257,3032.666667,1223.666667,71.66666667,474.6666667,258,1703,7298.666667,415.6666667,0,172.5,1123.333333,0.5
"3","Ruminococcus_gnavus",744,0,4,733,727,1.666666667,4,0,3.666666667,0.666666667,427.3333333,0.666666667,2,0.333333333,1.333333333,3.333333333,497.3333333,1,2.333333333,814.5
"4","Bacteroides_plebeius",271,4401,7,8394,371.6666667,63.33333333,2661.5,59,81.33333333,16.33333333,265.3333333,51.33333333,3406.5,5.333333333,309.6666667,2252.333333,223.3333333,2837.5,284,9838.5
"5","Bacteroides_pyogenes",0,15,0,0,0,0.333333333,6.5,0,0,1,0,0.333333333,6.5,0.333333333,19.33333333,6.666666667,0,4336.5,4.333333333,0
"6","Clostridium_tertium",305,1,1,270,324.3333333,1.666666667,1,0,0,2.666666667,201.6666667,1.666666667,1.5,1.333333333,1,4.333333333,223.3333333,4.5,0.333333333,270.5
"7","Bacteroides_stercoris",24,0,0,11,42.33333333,0,0,0,0.333333333,1.333333333,29,0,0,0.666666667,2.666666667,0.333333333,27,0,28.66666667,17.5
"8","Flavisolibacter_ginsengisoli",0,123,831,0,0,272,177,354,548.6666667,456,45.33333333,164.6666667,212.5,571.6666667,263.6666667,226,0,69,717,0
"9","Bacteroides_massiliensis",0,6098,6,0,0.333333333,63.66666667,3987,63,68,17.66666667,22.66666667,61.33333333,4427.5,7,366.6666667,2556.333333,0,2894.5,233.6666667,0
"10","Prevotella_heparinolytica",0,6,0,0,0,22.66666667,3,2,0,117.3333333,6.333333333,21.66666667,16.5,1,994,14,0,2153,35.66666667,0
"11","Bacteroides_caccae",5,4,0,6,3.333333333,0.333333333,0,0,0,0.333333333,3,0.333333333,2,0.333333333,1,2.333333333,5,2.5,0,5
"12","Clostridium_perfringens",154,0,0,148,161.3333333,0.333333333,0,0,0.333333333,0,96,0,0,0.666666667,0.333333333,0.666666667,108.6666667,0,0.333333333,140
"13","Bacteroides_ovatus",4,46,0,14,4.333333333,1.666666667,16,0,1.333333333,0.666666667,1.333333333,1.666666667,29.5,0,3.666666667,20,5.333333333,22,3,18
"14","Collinsella_aerofaciens",3247,144,3,32,69.66666667,13,104.5,3,12,3,47.66666667,8,44.5,3.333333333,16,133.3333333,110,54.5,6,75.5
"15","Sutterella_wadsworthensis",965,846,68,771,1299.333333,275.3333333,1404.5,162,300.6666667,43.33333333,1437.666667,283.3333333,887.5,33,299,912.3333333,786.6666667,749,317.6666667,550
"16","Bacteroides_coprocola",96,0,2,1874,150.3333333,0.666666667,1.5,0,0,0.666666667,104,2.333333333,0,1.333333333,2.666666667,2.333333333,115.6666667,5,17,2381
"17","Cercis_gigantea",2,1,4,0,0.666666667,1,1,0,4.666666667,5.666666667,2.333333333,1,19.5,8.666666667,1.666666667,6,5.666666667,6.5,101.3333333,0.5
"18","Eubacterium_ramulus",291,67,6,2064,346.6666667,12.33333333,94,12,20.66666667,5.333333333,272,11.66666667,49.5,5,26.33333333,72,224.6666667,82.5,47.33333333,1557.5
"19","Fusobacterium_necrophorum",0,166,753,0,0.666666667,68.33333333,766.5,645,1,406,542,343.6666667,598,47.33333333,729.6666667,542.3333333,0,616,554,0
"20","Ruminococcus_sp._5_1_39BFAA",227,64,7,1082,217.6666667,18,90.5,7,14.66666667,5.666666667,153,10.33333333,47,7.333333333,19.33333333,51,164,31,29.33333333,474.5
"21","Roseburia_inulinivorans",631,2,14,127,1430.666667,1,0.5,0,0,19,897,0,2,12,1,4.666666667,726.3333333,7,107,158.5
"22","Streptococcus_salivarius_subsp._thermophilus",76,41,15,63,64,3.666666667,8,2,4.666666667,24.66666667,41.66666667,2,18.5,14,8.333333333,15,46.66666667,6,31,165.5
"23","Acidovorax_facilis",3,33,1327,1,19,215.6666667,37,160,92,562.3333333,223.3333333,306.3333333,25.5,293.6666667,73,108.3333333,18.66666667,47,335,1.5
"24","Bacteroides_thetaiotaomicron",1,773,2,11,3.333333333,54,462,61,14.66666667,23.33333333,13,32.33333333,587,6.666666667,208.3333333,491,2,517,74.66666667,17
"25","Parabacteroides_distasonis",0,250,4,2,1.666666667,13.66666667,171,11,8,8,3.333333333,15.33333333,179,2,50.33333333,165.3333333,1.333333333,209.5,25,1
"26","Clostridium_clostridioforme",1,0,1,0,1,1,1,1,0.333333333,0,0.333333333,1,2,0,0.333333333,3.666666667,0,3.5,0,2.5
"27","Flavonifractor_plautii",12,12,2,25,16.33333333,3.333333333,6.5,0,3.333333333,2.333333333,14,3.666666667,12,0.333333333,5,11,10.66666667,14,4.333333333,34.5
"28","Lactobacillus_animalis",1,75,95,0,9,80.66666667,120.5,146,6.333333333,313.6666667,59.33333333,50.66666667,153,115.6666667,342.3333333,172.6666667,3.666666667,176,264.6666667,0
"29","Bradyrhizobium_elkanii",1,24,62,1,3,49.66666667,43.5,106,151.3333333,95,22.66666667,29,21.5,108,75,49,4,14.5,131.6666667,0
"30","Clostridium_paraputrificum",41,0,0,25,35,0.666666667,0,0,0,0,18.33333333,0,0,0.666666667,0,0.333333333,18,0.5,0,27.5
"31","Bacteroides_uniformis",0,225,0,5,0.333333333,3.333333333,81,1,4.333333333,0,1.333333333,2.333333333,146,1,22.33333333,104.6666667,1.333333333,139,12.66666667,3.5
"32","Acinetobacter_baumannii",21,31,175,21,119.3333333,39.66666667,28.5,22,80.66666667,132.6666667,208.6666667,37.66666667,29,117.3333333,58.66666667,32.66666667,74,21.5,272.3333333,15
"33","Staphylococcus_aureus",2,9,19,2,7,9,6,22,5.666666667,42,9.333333333,9,12,8.666666667,40.33333333,3.666666667,2.666666667,4.5,14,4.5
"34","Aeromonas_hydrophila",0,1,0,0,1,0.333333333,1,0,0,1.333333333,3,0,0,0,2.333333333,0,0.333333333,0,2.333333333,0
"35","Clostridium_sp._CL-2",27,0,0,24,33,0,0,0,0,0,19,0,0,0,0,0,21.66666667,0,0,23
"36","Actinomyces_odontolyticus",20,42,47,23,8.333333333,181.3333333,21.5,12,79,110,13.66666667,74,40.5,88,229.3333333,28.33333333,7.333333333,16.5,111,21
"37","Sphaerotilus_natans",0,0,3,0,0.333333333,0,0,0,0,0.333333333,116.3333333,0,0,0.333333333,0,0,0,0,0,0
