"","8_0149.leaf","8_0157.leaf","8_0158.leaf","8_0160.leaf","8_0162.leaf","8_0167.leaf","8_0171.leaf","8_0174.leaf","8_0302.leaf","8_0307.leaf","8_0318.leaf","8_0326.leaf","8_0327.leaf","8_0328.leaf","8_0330.leaf","8_0580.leaf","8_0589.leaf","8_0593.leaf","8_0606.leaf","8_0608.leaf","8_0609.leaf","8_0612.leaf","8_0617.leaf","8_0773.leaf","8_0775.leaf","8_0776.leaf","8_0790.leaf","8_0803.leaf","8_1012.leaf","8_1013.leaf","8_1023.leaf","8_1032.leaf","8_1043.leaf","8_1047.leaf","8_1048.leaf","8_1361.leaf","8_1370.leaf","8_1377.leaf","8_1378.leaf","8_1382.leaf","8_1384.leaf","8_1388.leaf","8_1389.leaf","9_0155.leaf","9_0159.leaf","9_0161.leaf","9_0169.leaf","9_0171.leaf","9_0179.leaf","9_0191.leaf","9_0290.leaf","9_0292.leaf","9_0298.leaf","9_0302.leaf","9_0305.leaf","9_0330.leaf","9_0334.leaf","9_0580.leaf","9_0583.leaf","9_0588.leaf","9_0589.leaf","9_0590.leaf","9_0599.leaf","9_0769.leaf","9_0775.leaf","9_0776.leaf","9_0781.leaf","9_0789.leaf","9_0799.leaf","9_0802.leaf","9_0804.leaf","9_1014.leaf","9_1027.leaf","9_1041.leaf","9_1043.leaf","9_1046.leaf","9_1047.leaf","9_1354.leaf","9_1355.leaf","9_1356.leaf","9_1358.leaf","9_1364.leaf","9_1370.leaf","9_1382.leaf","JAM_3C.leaf","JAM_E1.leaf","JAM_E3.leaf","JAM_E4.leaf","8_0149.root","8_0157.root","8_0158.root","8_0160.root","8_0162.root","8_0167.root","8_0171.root","8_0174.root","8_0302.root","8_0307.root","8_0318.root","8_0326.root","8_0327.root","8_0328.root","8_0330.root","8_0580.root","8_0589.root","8_0593.root","8_0606.root","8_0608.root","8_0609.root","8_0612.root","8_0617.root","8_0773.root","8_0775.root","8_0776.root","8_0790.root","8_0803.root","8_1012.root","8_1013.root","8_1023.root","8_1032.root","8_1043.root","8_1047.root","8_1048.root","8_1361.root","8_1370.root","8_1377.root","8_1378.root","8_1382.root","8_1384.root","8_1388.root","8_1389.root","9_0155.root","9_0159.root","9_0161.root","9_0169.root","9_0171.root","9_0179.root","9_0191.root","9_0290.root","9_0292.root","9_0298.root","9_0302.root","9_0305.root","9_0330.root","9_0334.root","9_0580.root","9_0583.root","9_0588.root","9_0589.root","9_0590.root","9_0599.root","9_0769.root","9_0775.root","9_0776.root","9_0781.root","9_0789.root","9_0799.root","9_0802.root","9_0804.root","9_1014.root","9_1027.root","9_1041.root","9_1043.root","9_1046.root","9_1047.root","9_1354.root","9_1355.root","9_1356.root","9_1358.root","9_1364.root","9_1370.root","9_1382.root","JAM_3C.root","JAM_E1.root","JAM_E3.root","JAM_E4.root"
"OTU_2",3,2,59,268,3,2,1,25,65,33,3,52,6,9354,3,1,22,3,6,1,3,1,14,3,3,191,4,3,2,8,1,3,130855,6,1,2120,15,1,8,9,4619,4,7,1,726,4,5,12,6,15,1,4,7,1,8,113,393,59,93544,112492,6,11,2,20,72,2,4,31,17,8,84000,9,22,2,41,63,4,11,5,2,52799,21,2,3,83475,11349,21,7,28861,122,1,9,8,413,6,3,6,3,2,4,2,22,3,17,8,3,31128,3,2,1,12,230,6,19,1,1,2,4,31,50,5,3,5,3,34,38,4,1,6,6,1,3,3,5,11,1,1,3,1654,4,79,730,1,1,1,7,58712,13,124617,9243,111,8,2,1,5,2,2,109198,2,3,2,13,3,22,51,3,45791,5,52004,2,6,5,113831,19,1,14
"OTU_3",8,13,1890,44,22064,109,1231,17676,13893,21,35,6277,13,15920,99,38,65,90,11767,28,377,5,3973,120,2,16959,12,3765,1048,2,6332,44,1186,1197,143,22556,9755,36,11146,27,11394,4,272,5929,13514,1383,5,6,29,10718,20782,12,1355,538,10561,26825,3,41,425,1,13,21,4,18,25468,604,9123,1563,16290,158,56,50,8653,96,67,14879,3790,22,299,70,446,173,25,12,50,72,27960,4,11618,19,14,1894,149,13314,40,88,32,48,7880,47,40,19966,43,11,13,6055,2304,159,17,4,341,57,189,66,8735,5115,3558,14,19140,11455,12777,1,27,32,85,33,31,7,19,32,132,89,4,48,224,12,60,8006,32524,14,18422,9480,33,41,27,33,152,18258,2,4833,542,8394,22,17,472,51,15512,63,677,174,851,27217,10088,17944,268,19,19135,8091,254,11023,349,11915,63,47,15,4196
"OTU_4",5485,3302,4522,6581,210,1643,113,3860,948,8271,3223,3609,1270,800,2491,4752,13679,2750,2152,1104,4019,1282,4248,335,6919,731,4544,813,14821,3662,1417,1310,95,2448,9244,1205,1234,1947,544,2956,7379,495,4472,2156,951,6434,2,6125,1049,350,813,1832,4606,3285,1917,2849,8638,1323,978,113,8651,2821,2496,3264,1973,1294,359,14366,2144,1845,399,3862,1315,3623,3229,2490,1478,1599,1591,2428,9428,5830,2991,7118,60,9304,2039,4981,481,755,17914,15998,8547,567,4841,21330,879,3284,1536,7185,1257,179,2060,2475,4051,3616,1763,7010,3692,2992,2526,6885,1427,1505,193,23871,445,2257,1202,1552,1315,2101,3465,4818,4569,3433,24290,7722,5508,1133,280,10910,10945,1907,6740,3914,1804,976,2952,3221,12382,1230,3320,2152,2377,1175,1726,652,147,235,3393,686,1509,1,1597,1151,2991,921,5471,1111,161,5437,7637,1170,2675,10950,140,405,171,647,15829,1799,50,6269,5572,9890
"OTU_5",42,351,7,4,2163,0,862,296,1334,7,1045,5115,4409,12,357,234,92,509,2001,35,2485,933,331,852,2,643,2002,1380,164,286,30,5,91,114,30,284,610,374,899,259,41,938,566,1058,2008,65,72,242,751,1160,880,3530,214,219,530,46,3,305,2,0,2925,11,183,13,163,3,147,8,361,1402,0,213,157,37,1200,619,25,1269,2638,292,68,600,1884,183,5,2,82,622,862,1072,11,103,315,2087,906,18,2043,3036,1148,395,1867,2319,565,4,2341,2365,46,19,1140,145,71,734,1920,991,1143,261,292,374,900,214,953,802,541,310,1015,2306,12,7,5237,472,93,22,193,366,270,986,2196,1559,573,973,330,670,550,440,1971,297,6,2852,0,1112,1238,670,613,43,439,1421,604,4,36,18,442,206,1501,42,3243,1,512,1881,221,819,6,780,20,1705,268,81
"OTU_6",16,2002,24,43,52,10,450,346,427,4,516,250,314,47,920,7,1980,3796,240,21,922,1955,30,1218,13,551,400,1238,4,2901,89,62,5,991,7,91,377,5672,110,2169,806,2214,938,171,499,249,289,2536,955,453,699,1200,8,1250,74,1076,4,2570,5,1,894,16,781,50,78,5,68,17,836,510,2,978,695,89,219,371,287,214,1646,2273,292,1255,820,856,1,6,54,10014,447,758,19,289,1760,214,1004,2,2131,858,811,2195,241,81,1287,3,841,601,8,244,1101,1309,23,2369,1089,606,366,49,345,1392,187,821,70,5528,343,1124,1170,2414,1,61,562,3009,3382,5,1176,2209,4364,762,435,16,309,663,266,424,1691,5540,2819,6852,12,98,0,432,2341,835,356,153,1158,1236,29,1,182,6,1025,820,26,1619,1590,1,27,293,7,74,18,345,0,716,1400,11
"OTU_7",1645,1170,10636,31686,210,6751,218,12471,2491,31919,1107,3827,930,2962,568,16975,5123,950,2198,4257,1818,517,8665,114,29029,1695,1604,348,19893,1030,3216,3720,75,1684,34361,1320,3729,767,1333,647,11116,364,556,5320,4080,8137,8,898,263,661,1674,755,4145,998,2665,7996,27671,498,1112,443,1737,8991,1278,25161,7506,3161,2667,16517,4412,1201,1499,1151,5496,11277,485,7860,2259,244,355,401,12884,713,1707,487,101,29760,2919,577,1010,490,25030,29443,979,2193,10540,25911,648,869,3146,1148,452,629,350,17413,2601,6989,4632,26540,685,537,5153,1627,709,328,338,29803,2527,266,2796,1668,2725,276,228,1079,1193,1100,29720,2630,811,492,124,30698,929,594,697,1197,533,1478,6080,907,23025,3934,676,488,593,259,8758,1816,447,757,1246,1628,846,3,525,862,6443,796,9723,4140,152,11727,16279,2919,1661,50247,109,557,962,2408,20861,4961,125,2454,1746,23953
"OTU_8",4050,4094,13,66,4,21,1164,2,21,19,3616,16,5001,35,3207,307,7079,5668,29,43,5017,1651,72,3623,33,27,3387,545,25,4779,237,16,1,99,40,21,97,978,37,2070,6,1241,3035,32,22,166,1546,4646,1651,8,5,3760,29,1362,4,11,119,5123,107,0,4335,10,2699,17,8,20,8,24,14,2733,4,5491,10,88,840,50,130,2485,1584,2870,141,5067,2177,2211,2,30,32,2233,13,5575,26,64,4449,22,2608,23,2421,2053,22,3660,3166,5,1404,23,2645,159,33,122,2174,2054,23,4486,4169,3582,4,29,30,2133,28,3,14,1543,2437,3388,4316,5114,18,2265,5539,3687,5721,55,2203,1915,2428,2163,2367,5,13,3965,32,145,4883,2051,3576,3353,165,8,1,30,8992,10,1655,810,3039,1344,11,1,152,23,268,4,22,4,5153,129,15,40,27,35,4,4,1,3083,4241,35
"OTU_9",6,282,124,27,8823,3596,500,91,146,12,87,2256,223,12,110,68,82,35,4699,147,15,312,2023,273,29,3503,19,47,4217,33,63,263,46,31,60,5217,1902,13,166,11,2437,8,192,2283,881,6132,2,14,151,1375,507,91,49,1206,377,139,17,40,25,1,24,35,449,1,115,303,8478,7,794,44,1,833,184,33,40,747,47,35,82,90,14,580,76,108,6,90,380,19,3348,36,33,46,15,1121,141,23,353,99,380,25,178,453,35,4,19,2560,18,47,26,15,4578,480,247,37,19,90,759,44,1456,297,386,22,30,166,607,47,7,54,177,143,22,23,69,194,46,135,67,13071,2059,231,430,222,85,53,8,1068,8,22935,0,528,251,31,136,1,75,23,1557,8,67,35,56,20,1172,1054,613,56,4061,609,17,941,59,358,2,65,24,3145
"OTU_10",102,5,10,18,211,1,1100,866,2726,11,6,149,212,114,16,0,79,80,6159,19,258,95,288,28,14,9070,165,1361,151,57,3064,20,10,686,241,2335,596,246,555,132,1049,67,16,243,2879,194,6,42,660,3609,8437,277,1784,14,1292,1875,31,76,4,1,353,20,0,16,1729,0,957,18,4570,209,14,13,1907,81,11,253,2768,136,205,14,253,66,22,10,0,3,4242,362,6269,228,2,459,171,6811,16,23,148,145,1089,139,18,11960,6,14,105,201,4,14,5,1,0,69,583,162,2627,44,128,1,1104,1013,3906,261,31,12,87,375,0,62,177,42,89,92,2,5,246,17,29,750,5339,17,255,695,5,230,109,301,37,2094,0,9492,316,1152,8,48,706,321,876,32,189,21,1879,605,56,2786,394,10,345,917,9,334,170,5475,7,318,107,273
"OTU_11",25,1393,35,19,5,3,1217,5,11,11,1711,31,4285,32,2676,45,971,1177,10,27,8889,2769,14,2592,12,13,4195,9,13,2930,30,14,1,5,29,5,108,1850,10,1186,2,2156,29,30,8,26,185,3500,1580,3,5,3144,20,681,15,9,4,2988,11,3,2947,14,1274,5,11,7,2,11,15,4260,4,10949,1,30,9166,25,46,1505,749,1312,28,1626,4806,1131,1,26,47,3071,4,6454,6,234,1954,8,3990,11,2827,2398,7,2300,3121,5,734,21,4911,30,79,152,2319,1330,38,3842,5431,2725,42,11,16,2229,28,5,5,2151,2203,1650,4975,5657,5,7,7387,1327,73,23,1820,1574,1822,1862,3076,12,12,2699,43,13,3697,1434,5616,1268,218,55,4,4,5271,26,1263,85,1470,880,20,3,251,30,5,3,27,6,3356,24,5,227,9,30,21,2,1,3141,3234,27
